"filename", "language", "JSON", "JavaScript", "Log", "CSS", "Markdown", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\Authenticate.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 8, 89
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\EmailConfirm.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\Field.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 1, 5, 34
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\ForgotPassword.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 4, 92
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\LoginForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 11
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\LoginForm.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 3, 95
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\RegisterForm.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Authenticate\RegisterForm.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 0, 0, 4, 150
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\AddressForm.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 1, 4, 20
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\AddressForm.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 0, 0, 3, 161
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\Checkout.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 0, 1, 8, 41
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\Checkout.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\EditAddress.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 0, 1, 4, 19
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\EditAddress.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\FormField.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\PaymentMethods.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\PaymentMethods.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 6, 61
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\RadioField.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\SelectField.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Checkout\TextareaField.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Footer\Footer.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Footer\Footer.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\AccountHeader.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\AccountHeader.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Cart.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Cart.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Header.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Header.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\HeaderWishList.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\HeaderWishList.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Icons.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 3, 8, 44
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Icons.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Logo.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 7, 6, 40
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Logo.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\MobileLogo.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\MobileLogo.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\ProfileImage.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\ProfileImage.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Search.css", "CSS", 0, 0, 0, 78, 0, 0, 0, 0, 4, 15, 97
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\Search.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 3, 59
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\SecondaryHeader.css", "CSS", 0, 0, 0, 76, 0, 0, 0, 0, 1, 15, 92
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\SecondaryHeader.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 1, 4, 69
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\User.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 0, 2, 11, 78
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\User.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 6, 91
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\UserName.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Header\UserName.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\CaroDisplay.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\CaroDisplay.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
